What is the capital of UAE?,Abu Dhabi
What city is the capital of United Arab Emirates?,Abu Dhabi
which emirate is the capital of UAE?,Abu Dhabi
What is IBM Watson?,IBM Watson is a cognitive system developed by IBM
What is IBM congnitive system?,IBM Watson is a cognitive system developed by IBM
What is watson ?,IBM Watson is a cognitive system developed by IBM
What is the temperature outside today?,It is very hot outside
How hot is it today?,It is very hot outside
Is it hot outside?,It is very hot outside
What is the expected high for today?,It is very hot outside
What is the expected temperature?,It is very hot outside
Will high temperatures be dangerous?,It is very hot outside
Is it dangerously cold?,It is very hot outside
When will the heat subside?,It is very hot outside
Is it hot?,It is very hot outside
How cold is it now?,It is very hot outside
Will we have a cold day today?,It is very hot outside
other,try a question from provided samples
